experiment,subject,date,age,gender,payoff_scheme,context,trial,intervening,response,accuracy,partner_action,total_payment,contacts
1,1,2011-01-26,21,Male,Standard,Cooperation,55,6,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,56,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,57,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,58,16,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,59,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,60,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,61,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,62,8,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,63,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,64,3,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,65,6,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,66,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,67,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,68,16,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,69,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,70,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,71,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,72,8,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,73,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,74,3,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,75,6,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,76,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,77,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,78,16,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,79,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,80,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,81,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,82,8,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,83,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,84,3,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,85,6,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,86,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,87,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,88,16,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,89,12,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,90,14,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,91,6,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,92,8,1,1,Cooperate,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,93,5,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,94,3,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,95,6,0,1,Defect,9,416
1,1,2011-01-26,21,Male,Standard,Cooperation,96,6,1,1,Cooperate,9,416
